target_tweet,authentic_reply,STANCE,ACTION,PERSONALNESS,POLITENESS
>rawsalerts: 🚨#BREAKING: The grand jury in Georgia weighing evidence against Donald Trump begins voting,"@rawsalerts I’m so tired of hearing about Donald Trump.

How many more failed attempts at ruining this man’s name are they going to try? 🤡",OPPOSE,QUESTION,PERSONAL,RUDE
">TristanSnell: EVERY elected, appointed, or military official who gave aid or comfort to the insurrection of January 6 is automatically disqualified from holding any office ever again, under the 14th Amendment, Section 3.

Every. Single. One.",@TristanSnell Wake me when someone gets charged with insurrection.,OPPOSE,COMMAND,PERSONAL,NORMAL
">MustangMan_TX: Do you agree that at this point, It’s Trump or die for America??",@MustangMan_TX Yep. Not just America.,SUPPORT,STATEMENT,GENERAL,NORMAL
>Jim_Jordan: Make Groceries Affordable Again!,@Jim_Jordan You don't buy Groceries do you Jim?,OPPOSE,QUESTION,GENERAL,NORMAL
">kylegriffin1: Judge Chutkan to Trump's defense: ""I caution you and your client to take special care about your public statements about this case.""

""I will take whatever measures are necessary to safeguard the integrity of these proceedings."" @NBCNews",@kylegriffin1 @RadioFreeTom @NBCNews Good luck !,OPPOSE,STATEMENT,GENERAL,NORMAL
">AndrewDesiderio: Sen. @ChrisMurphyCT: “Tuberville is not going to back down. He thinks he’s become a celebrity folk hero for the fringe right…He’s having the time of his life. So if you want the military to function, you’re going to have to find a creative way to get around this guy.”",@AndrewDesiderio @RadioFreeTom @ChrisMurphyCT You can't out-work stupid,SUPPORT,STATEMENT,GENERAL,RUDE
">KamVTV: If you want to scrutinize the Georgia indictment, chew on the fact they indicted an attorney (Jenna) who was being paid by Trump to do their job. 

Sounds a bit desperate to me.",@KamVTV Desperate…,SUPPORT,STATEMENT,GENERAL,NORMAL
>itsALLrisky: Who's awake rn??,@itsALLrisky I’m reading this 12 hrs later to tell you that I indeed am awake rn,NEUTRAL,STATEMENT,PERSONAL,NORMAL
">RyanAFournier: President Trump just plead NOT GUILTY.

Because he’s NOT guilty.",@RyanAFournier He is guilty,OPPOSE,STATEMENT,GENERAL,NORMAL
>DrLoupis: More people should respond to the fact that the world has gone completely insane.,@DrLoupis It took the medical community long enough to join the fight,SUPPORT,STATEMENT,GENERAL,NORMAL
>ACTBrigitte: We live in a Banana Republic.,"@ACTBrigitte Bye, don't let the door hit you in the a** when you leave. 👋 👋 👋 👋",OPPOSE,COMMAND,GENERAL,RUDE
">GrahamAllen_1: With a 4th Indictment…..

Trump just won 2024!! 

They want a war they’ve got it!",@GrahamAllen_1 Cry more …,OPPOSE,COMMAND,GENERAL,RUDE
">KVUE: The killing comes amid a startling wave of violence in the South American nation, with drug trafficking and violent killings on the rise.",@KVUE Give us just a little more info please & thank you.,NEUTRAL,COMMAND,GENERAL,POLITE
">MarshaBlackburn: In December of 2020, the Biden transition team and the Secret Service were tipped off about plans to interview Hunter Biden.

The Deep State will do anything to protect Democrats.",@MarshaBlackburn Marsha is freaking out today because her crimes are soon going to be known.,OPPOSE,STATEMENT,GENERAL,RUDE
">JudiciaryGOP: In the dead of the night, an overzealous junior varsity prosecutor from a county filled with crime and corruption indicted President Trump for purely political purposes. 
 
Disgraceful.",@JudiciaryGOP Resign pos,OPPOSE,COMMAND,GENERAL,RUDE
">LeeMZeldin: The GOP is filled with amazing talent to save our country from the failed policies of the Biden Admin. Our nominee in 2024 will be the 45th & 47th POTUS, Donald Trump. Our economy will be stronger, our streets will be safer, & our lives will be freer. He has my full support!",@LeeMZeldin you remember Trump lost last time. It wasn't close,OPPOSE,STATEMENT,GENERAL,NORMAL
">GOP: Joe Biden took office 3 years, 6 months, and 15 days ago.

Joe Biden has spent nearly 40% of this time on vacation - a higher percentage than any of his modern predecessors.",@GOP Homeschool math,OPPOSE,STATEMENT,GENERAL,RUDE
>LeadingReport: BREAKING: Renowned doctor claims Pfizer’s documents prove the COVID vaccine to be “the deadliest drug ever rolled out to the human public.”,"@LeadingReport @SSlade515 Just look at the all cause mortality since it was given. It’s off the charts, so is illness, chronic disease, blood clots, and heart problems.",SUPPORT,COMMAND,GENERAL,NORMAL
">TheRickWilson: Between Judge Chutkan and Fani Wills, what’s the over/under Trump drops the n-word on Truth social?",@TheRickWilson OMG. I am not sure I can imagine him crossing that line,NEUTRAL,STATEMENT,PERSONAL,NORMAL
">zachxbt: 1/2 Today @machibigbrother has agreed to voluntarily withdraw the lawsuit. I have updated my article with additional context from Machi + edits from myself

While I am disappointed it went down the legal route in the first place I am appreciative we are able to find a resolution",@zachxbt @machibigbrother Nice big W brother,SUPPORT,STATEMENT,GENERAL,NORMAL
">Jim_Jordan: Today’s indictment is just the latest political attack in the Democrats’ WITCH HUNT against President Trump.

He did nothing wrong!","@Jim_Jordan “The time has come"" the Walrus said, ""to talk of many things. 
Of lies - and crimes - and thieving hacks - 
Of savages becoming Kings - 
And why the truth is boiling hot - 
And how now is the time to sing."" —
Through the Looking Glass, Lewis Carroll

Oh Gym! Wipe your tears away!",OPPOSE,STATEMENT,GENERAL,RUDE
">POTUS: Through my Investing in America agenda, we've provided $50 billion for climate resiliency, including helping communities withstand extreme heat.

We're taking steps to plan for, recover from, and make our nation more resilient to future heat waves.",@POTUS How many more islands are you planning on burning?,OPPOSE,QUESTION,GENERAL,RUDE
">rgoodlaw: P.S.A.

Yes, #GeorgiaIndictment is pardon proof.

BUT, But, but...

Supreme Court may well hold a sitting president is immune from trial/conviction.

Result: 18 co-defendants left holding the bag. Trump, if elected, immune (for 4 years).

Another reason for co-defendants to flip.",@rgoodlaw He's not a sitting president.,OPPOSE,STATEMENT,GENERAL,NORMAL
">AWeissmann_: We shd not forget that the predicament Jack Smith is in, racing to get and keep trial dates pre-election, is cause Garland was so slow to pursue a top down investigation.",@AWeissmann_ Correct,SUPPORT,STATEMENT,GENERAL,NORMAL
>StephenM: A Republican DA could indict both Biden and Mayorkas for human trafficking.,@StephenM District Attorneys focus on facts & laws. They're meant to be neutral and you'd know that if you payed attention in school instead of eating paint chips.,OPPOSE,STATEMENT,GENERAL,RUDE
">benshapiro: Whatever you think of the Trump indictments, one thing is for certain: the glass has now been broken over and over again. Political opponents can be targeted by legal enemies. Running for office now carries the legal risk of going to jail -- on all sides.","@benshapiro If politicians commit crimes against the American people then they should be held accountable. I don’t have a problem with that, do you?",OPPOSE,QUESTION,PERSONAL,NORMAL
">antonioguterres: July has already seen:

The hottest three-week period ever recorded.

The three hottest days on record.

The highest-ever ocean temperatures for this time of year.

It is still possible to avoid the very worst of climate change, but only with dramatic, immediate #ClimateAction.","@antonioguterres Baa . . . Baa . . . Baa

The sheep have stopped listening.",OPPOSE,STATEMENT,GENERAL,RUDE
">POTUS: At a time when some seek to ban books and bury history, we’re making it clear that we can’t just choose to learn what we want to know.
 
We should learn everything – the good, the bad, and the truth of who we are as a nation.
 
That's what great nations do.","@POTUS We just want you to stop reading porn to kids, Pedo.",OPPOSE,STATEMENT,GENERAL,RUDE
">mikepompeo: ""Be on your guard; stand firm in the faith; be courageous; be strong.""
 1 Corinthians 16:13
#SundayScripture ✝️",@mikepompeo It’s apparent god passed you over.,OPPOSE,STATEMENT,GENERAL,RUDE
>UPP_Polls: Should a trans person be allowed to use the locker room they desire?,"@UPP_Polls If I saw Elliot Page in the locker room with me I wouldn’t give any fucks.

I can only speak for myself here, but yeah… this is a non issue for me.",SUPPORT,STATEMENT,PERSONAL,NORMAL
>SecBlinken: The United States strongly condemns Russia’s conviction of opposition leader Aleksey Navalny on politically motivated charges. The Kremlin cannot silence the truth. Navalny should be released.,"@SecBlinken Is Putin weighing in on you and your dementia patient at 1600 doing the same thing? Politically motivated persecution of your opposition. The United States cannot silence the truth, but yet you do. Trump charges should be dropped and your political prisoners should be released",OPPOSE,QUESTION,GENERAL,RUDE
">Lancegooden: Grand juries don’t matter when you have the judge and prosecutor in your pocket.

The left, by attacking President Trump, is sending yet another message to anyone who fought for free and fair elections: you’re next.","@Lancegooden LOL you never fought for free and fair elections, you fascist fraud.",OPPOSE,STATEMENT,GENERAL,RUDE
">POTUS: Bidenomics is another way of saying restoring the American dream.

40 years of trickle-down economics limited that dream to those at the top.

But I believe every American willing to work hard should be able to get a job, raise their kids on a good paycheck, and keep their roots.",@POTUS Every American that works hard does have a job. That’s the way isn’t always worked. The problem is the cost of living has doubled since you took office.,OPPOSE,STATEMENT,GENERAL,NORMAL
">LeaderMcConnell: Democrats are celebrating the anniversary of their reckless taxing and spending spree. A majority of the money they spent on green slush funds is helping companies based overseas – including in China. Meanwhile, the only thing this liberal spending “made in America” was a mess.",@LeaderMcConnell Impeach Biden. Or retire,OPPOSE,COMMAND,GENERAL,RUDE
>dogeofficialceo: Do you ever think “I’m soooooooooooo fuckin insane?”,@dogeofficialceo Name one genius that ain’t crazy,SUPPORT,COMMAND,GENERAL,NORMAL
">RockyMountViews: So, what is the word out of Georgia?",@RockyMountViews Mum,NEUTRAL,STATEMENT,GENERAL,NORMAL
">POTUS: Supporting our veterans has been a central focus of my Administration since day one –
 
From job training, housing, and debt-free VA care to health care services for women veterans and supports for LGBTQI+ veterans.","@POTUS This is not true at all.
ALL NGOs are using tax payers dollars to settle illegal aliens. The federal dollars no longer are going to assist homeless and at risk veterans or citizens.",OPPOSE,STATEMENT,GENERAL,NORMAL
>Spawn_03: The best part of waking up is MAGA tears in your cup.,@Spawn_03 😂😂🤣,SUPPORT,REACTION,GENERAL,NORMAL
">SRXracing: RON CAPPS BACK ON TRACK 👏 

#CampingWorldSRX",@SRXracing let’s go ron 👏 #CampingWorldSRX,SUPPORT,STATEMENT,GENERAL,NORMAL
">GovTimWalz: While they’re attacking teachers, students, and schools, Minnesota is banishing hunger.",@GovTimWalz Really.  How many were hungry?  Couldn't you just feed them and not pay for EVERYONE'S meals?  Or was that surplus burning a hole in your pocket and you just HAD to spend the money?,OPPOSE,QUESTION,GENERAL,NORMAL
">DeItaone: 🔸The Typical Teacher Can Afford Just 12% of Homes for Sale Near Their School,  Down From 30% in 2019: Redfin",@DeItaone @ElectionWiz They voted for it.,OPPOSE,STATEMENT,GENERAL,NORMAL
">jamiedupree: On Meet the Press today, Mike Pence said he asked the Senate Parliamentarian directly in a meeting on Jan. 3, 2021 if she had received any certificates from fake GOP electors.

Pence said the answer was no.

But emails from that day paint a much different story.  

🧵  1/",@jamiedupree he filibustered like there was no tomorrow- he was simply unbelievable,SUPPORT,STATEMENT,GENERAL,NORMAL
>SymoneDSanders: I am keeping Chris’s chair warm tonight on @allinwithchris and I think there are at least a few things to discuss. See you all at 8pm ET,@SymoneDSanders @allinwithchris 👏🏼👏🏼👏🏼,SUPPORT,REACTION,GENERAL,NORMAL
">MayoIsSpicyy: BREAKING NEWS:
Donald Trump is fucked.",@MayoIsSpicyy @KellDA OMG Mayo! Pins & needles!,SUPPORT,STATEMENT,PERSONAL,NORMAL
>Keggs719: If Trump gets 9 indictments is the 10th free like how does this work,@Keggs719 With the 10th he gets a free pizza,SUPPORT,STATEMENT,GENERAL,NORMAL
">ACTBrigitte: The Russia-Ukraine war will end the moment President Trump is inaugurated into office.

Putin doesn’t want to test President Trump’s strength.",@ACTBrigitte That's b*******,OPPOSE,STATEMENT,GENERAL,NORMAL
>dogeofficialceo: It’s disturbing how many people can’t take a joke these days,@dogeofficialceo Why go in the internet,SUPPORT,QUESTION,GENERAL,NORMAL
">ProjectLincoln: President Biden is presiding over an incredibly strong economy; wages are rising, inflation is low, and employment is high. He did things Trump couldn’t imagine doing even on days when he wasn’t running around undermining our democracy.","@ProjectLincoln “Strong economy?” 

Cripe these people are shameless…",OPPOSE,QUESTION,GENERAL,RUDE
>davidhogg111: Now that I have graduated- I have time to focus full time on fighting the far right and obliterating the gun lobby. I have a big announcement tomorrow.,"@davidhogg111 Why don’t you get a job, collect a paycheck and contribute 
Or is your degree in “paid shill?”",OPPOSE,QUESTION,GENERAL,RUDE
">PalmerReport: Three possible reasons why Lindsey Graham wasn't indicted:

1) He flipped on the others

2) There wasn't strong enough evidence against him to get a conviction

3) There are more charges coming

Take your pick.",@PalmerReport I think 1 or 3,SUPPORT,STATEMENT,PERSONAL,NORMAL
">bennyjohnson: 🚨BREAKING: Biden to travel to Lake Tahoe, Nevada for A WEEK this Friday while utterly ignoring hundreds of dead Americans in Maui","@bennyjohnson Because, after all, whatever his engagements are, he has to stop, drop, and roll. Whereas you didn't have a problem with Ted Cruz heading off to Cancun while people died of the cold in TX. Or Trump playing golf as millions died of COVID. Or other emergencies on his watch.",OPPOSE,STATEMENT,GENERAL,NORMAL
>imillhiser: This thing where Joe Biden's enemies are trying to humiliate him by attacking his son who struggles with addiction is really ugly. And it doesn't become less ugly because they pretend to believe that it is a corruption scandal.,"@imillhiser He couldn't have been struggling to badly with ""addiction"" if he was able to rake in millions upon millions straight to daddy joe.. Use your fucking brain & stop with the victim mentality. Does any of this help Americans struggling with this idiots policies? STOP IT!",OPPOSE,COMMAND,GENERAL,RUDE
">RealCandaceO: Something I’m really proud of that I did over this last year is that I reduced my grocery store spending by about 85% and transferred that spending to Farmers’ markets. I buy directly from local farmers now. 

Tastes better, feels better and is now my favorite weekend activity.",@RealCandaceO Supporting the farmers who enslaved your ancestors is not a win.,OPPOSE,STATEMENT,GENERAL,NORMAL
">LakotaMan1: Just found out that Trump CANNOT be pardoned in the great state of Georgia. 

Please tell me this is true.",@LakotaMan1 It's true.,SUPPORT,STATEMENT,GENERAL,NORMAL
">FiveRights: WE WANT TRUMP say about 90 million Americans.
The rest would want Trump too if they hadn't been conditioned to hate him by 8 years of psy ops by the people who stole the 2020 election from him.","@FiveRights @MarianCantwellF Exactly, 99% of what the TDS people think if Trump is fabricated by the far left FBI, DNC, Hillary campaign, AG, ‘retired’ intelligence personnel and MSM. But, at this point it’s a mental illness to believe it.",SUPPORT,STATEMENT,GENERAL,RUDE
">laurenboebert: If they didn’t think Trump could win again, they wouldn’t be feverishly filing indictments to try and stop him from winning.","@laurenboebert The economy is in the toilet, the border is open, and we’re at war with Russia.

Americans see this.

Democrats know Biden can’t win fairly so they’re cheating — this time using the judiciary.

Republicans in Congress need to do something about this election interference!",SUPPORT,STATEMENT,GENERAL,NORMAL
">Timcast: It is with a heavy heart that I report to you all the passing of Roberto Jr

He died suddenly of a heart attack earlier today. CPR was attempted but we were unable to resuscitate.

He is survived by a dozen or so children. His father Roberto will return to take care of his flock","@Timcast Oh no I’m sorry. 😔
You were just talking about his future horror story coffee commercial last night on IRL, now he will demand coffee in the horror story of our hearts.",SUPPORT,STATEMENT,PERSONAL,NORMAL
">Liz_Wheeler: Apparently illegal in America now:

- Telling people to watch TV
- Asking for phone numbers
- Renting rooms at the Capitol
- Advocating for signature verification
- Tweets

It’s not just Trump they’re coming after. They’re coming next for our free speech if we dare dissent.","@Liz_Wheeler In deliberate, knowing, intentional furtherance of a crime?
Yup.",OPPOSE,QUESTION,GENERAL,NORMAL
">RBReich: Reminder: Tipped workers in 16 states still make an immoral $2.13/hr minimum wage.
 
How can anyone support an economic system that lets this happen?","@RBReich The waiters at my favorite restaurant in South Carolina make 2.13 per hour before tips. After tips? A few months back, the manager told me they make about $35 per hour. An economic system that lets college kids who hustle make that kind of money for waiting tables seems awesome.",OPPOSE,STATEMENT,PERSONAL,NORMAL
">Jim_Jordan: Today’s indictment is just the latest political attack in the Democrats’ WITCH HUNT against President Trump.

He did nothing wrong!","@Jim_Jordan Bet you’ll be a co-conspirator in Jack Smith’s sights in the #J6Indictment, Jim. We’ll be celebrating that, too. Fool.",OPPOSE,STATEMENT,GENERAL,RUDE
">RepJamesComer: The Biden Justice Department is trying to stonewall congressional oversight as we have presented evidence to the American people about the Biden family’s corruption. 

📺🚨 Joining @IngrahamAngle on @FoxNews right now. Tune in!","@RepJamesComer @IngrahamAngle @FoxNews Stonewalling congressional oversight is when Republicans ignore and encourage others to lawful subpoenas.

Stonewalling congressional oversight is not appointing a special counsel to investigate Hunter Biden.",OPPOSE,STATEMENT,GENERAL,NORMAL
">MarshaBlackburn: This fiscal year alone, U.S. Border Patrol has seized over $36M worth of fentanyl.
 
Secure the border.","@MarshaBlackburn Well done, Biden Admin!! $36 million worth of fentanyl that is not on American streets.",OPPOSE,STATEMENT,GENERAL,NORMAL
">RichardGrenell: Joe Biden is using his power to prosecute Donald Trump so he doesn’t run against him. 

This is Third World tactics.",@RichardGrenell What's Donald got on you? It must be pretty heinous.,OPPOSE,QUESTION,GENERAL,RUDE
">JordanSchachtel: What causes inflation?

Right answers only.",@JordanSchachtel Climate change and racism.,OPPOSE,STATEMENT,GENERAL,NORMAL
>catturd2: I’ve had 5 home insurances cancel me for no reason in Florida over the past 4 years and my Governor is in Iowa serving people fried battered egg sticks.,@catturd2 Just like trump he doesn’t care about you either. You’re just a voice on X that votes. That’s it.,SUPPORT,STATEMENT,GENERAL,RUDE
>catturd2: Funny how none of the politicians who bragged about going to Ukraine are going to Hawaii.,"@catturd2 Tells a lot about their priorities, none of which are US.",SUPPORT,STATEMENT,GENERAL,NORMAL
">realJojoJerz: It’s funny how adversity reveals who your true friends are and who they aren’t, isn’t it?","@realJojoJerz I've experienced a lot of adversity in my life. It's has led to me being stronger and also more compassionate. 

There is an old saying about 'fair weather friends'. True friends stick by you when you're having a hard time.",SUPPORT,STATEMENT,PERSONAL,NORMAL
">VP: .@POTUS and I have created more than 13 million new jobs, and American manufacturing is growing faster than it has in decades.

Bidenomics is working.",@VP @POTUS 🤦‍♂️,OPPOSE,REACTION,GENERAL,NORMAL
">StephenKing: If you do the crime, you must be prepared to do the time.",@StephenKing Tell that to Biden. Any Biden,OPPOSE,COMMAND,GENERAL,NORMAL
">PattieWalker4: Anya is a true-blue biometeorologist who knows that climate change and global warming are real. She's also the caregiver for an aging parent with early Alzheimers. NO HASHTAGS, PLEASE, for her safety due to a stalker, but I'm vouching that @A4NY14 is worth a follow! 💙💙💙",@PattieWalker4 @A4Ny14 Following but RT’d💙💙💙,SUPPORT,STATEMENT,PERSONAL,NORMAL
">l78lancer: Before @HillaryClinton finishes her interview with @maddow tonight, I'd love to hear her say ""lock him up"" just one time.",@l78lancer @HillaryClinton @maddow She's being gracious even though she could rub his nose in the shit.,SUPPORT,STATEMENT,GENERAL,RUDE
">guypbenson: President Biden was asked about the death toll in Hawaii. He smirked & said “no comment” as he left yet another beach day.

In cleaning this up, his chief spokesperson misgendered one of the state’s US Senators (also mispronouncing her name) & called the other “Senator Sharts.”",@guypbenson 😆,SUPPORT,REACTION,GENERAL,NORMAL
">dbongino: Today is August 15th, and Joe Biden is the WORST president in US history.","@dbongino Trump is a rapist facing a quarter BILLION in fines for fraud and over a hundred criminal charges that potentially add up to nearly 600 years in jail.
🤭",OPPOSE,STATEMENT,GENERAL,RUDE
">amnesty: 📢 Trans rights are human rights.
📢 Trans rights are human rights.
📢 Trans rights are human rights.
📢 Trans rights are human rights.",@amnesty I have the right to NOT play along with another person's imagination.,OPPOSE,STATEMENT,PERSONAL,RUDE
">laurenboebert: In a sane country, Fanni Willis wouldn’t have a job after the indictment she just released.

But, we are not living in a fair country. We’re living in a banana republic.",@laurenboebert Why do you still have a job Lauren? You are an insurrectionist. You're next Tweetie-pie.,OPPOSE,QUESTION,GENERAL,RUDE
>BB_Updates: Hisam to Cameron- I am telling everyone today at the veto meeting that Reilly is my target and I am hoping that the house will help me evict her #BB25,@BB_Updates I hope. He needs to go next.,NEUTRAL,STATEMENT,PERSONAL,NORMAL
>meganamram: Today was the day Donald trump finally became president,@meganamram Haha! The new context is everything.,SUPPORT,STATEMENT,GENERAL,NORMAL
">SRXracing: Ron Capps got a ‘lil itty bit too close to the wall there 😬🤏

He’s on pit road for repairs.

#CampingWorldSRX",@SRXracing oopsies 🙃 #CampingWorldSRX,NEUTRAL,REACTION,GENERAL,NORMAL
">the_royal_rogue: Roguies! will do only a half-show today as I've been chronically exhausted for lack of/bad sleep. I also had to call off TBLG's live stream too.

PSA: Make sure you get enough sleep!",@the_royal_rogue You take care of yourself.  If Meghan hears she may send you a NuCalm subscription 😲,SUPPORT,COMMAND,GENERAL,NORMAL
">HelenKennedy: An old editor told me to always look for what isn't there: Mike Flynn, Patrick Byrne, Lin Wood, Lindsey Graham are not indicted.",@HelenKennedy Wait. We know who’s on the list now?,NEUTRAL,QUESTION,GENERAL,NORMAL
">Mollyploofkins: Do you believe Marjorie Taylor Greene had a role in organizing the events of Jan. 6?  

cc: @RepMTG @FBI @TheJusticeDept","@Mollyploofkins @RepMTG @FBI @TheJusticeDept Wouldn't surprise me in the least. I'd want to see proof, however. I really don't think she's that smart.",NEUTRAL,STATEMENT,PERSONAL,NORMAL
>MikeSington: MSNBC: “There will be an overwhelming number of charges.” #IndictmentWatch,@MikeSington You just ruined my mascara.,SUPPORT,STATEMENT,PERSONAL,NORMAL
>Scaramucci: When is enough enough? 4 arrests and 100s of counts against President Trump.  This last one is a brutal incriminating one.  Let’s move on.,"@Scaramucci No way man. We have to stick with Trump, watch him get his brains beaten in during the general because he has 6 trials (I think -- I'm starting to lose count) going on, then complain about how unfair it all is. They don't call Republicans ""The Stupid Party"" for nothing.",OPPOSE,STATEMENT,GENERAL,RUDE
">POTUS: As residents of Hawai'i mourn the loss of life and devastation taking place across their beautiful home, we mourn with them.

Like I've said, not only our prayers are with those impacted – but every asset we have will be available to them.

Here's the latest:","@POTUS What happened to ""no comment?""",OPPOSE,QUESTION,GENERAL,NORMAL
">WisGOP: Despite, just how wildly unpopular the Biden-Harris agenda is, @tammybaldwin is shamelessly attaching herself at the hip to the administration.",@WisGOP @tammybaldwin Considering the WI GOP hasn’t  done a single thing for Wisconsinites I am with Tammy Baldwin. She gets things done!,OPPOSE,STATEMENT,PERSONAL,NORMAL
">blacklionking73: at a bar in DC and a man on a FIRST DATE (🤢😩) is showing his date d*ck pics on his phone like they are Ansel Adam photos 
"" see the light here really works""
She has glanced at me twice. I'm about to go pretend I know her and give her an out 
Wish me luck.  I've had 3 Jamesons",@blacklionking73 You're are the type of man that many women fall for!,SUPPORT,STATEMENT,GENERAL,NORMAL
">POTUS: Right now, we have the lowest inflation rate among the G7, wages are growing faster than inflation, job satisfaction is at a 36-year high, and the share of working-age Americans in the workforce is the highest it’s been in 20 years.

It’s no accident. It’s my economic plan.",@POTUS Whoa. So many lies.,OPPOSE,STATEMENT,GENERAL,RUDE
">MarshaBlackburn: The WH Press Sec. said, “We have seen [Biden’s] border plan be effective.”

If over 500k gotaways, 143 suspected terrorists, and $36M worth of fentanyl seized in FY23 alone means “effective,” then sure.

His plan is extremely effective at destroying our national security.","@MarshaBlackburn Marsha, they are getting the drugs they are getting the job done, unlike Trump and his stupid wall.",OPPOSE,STATEMENT,GENERAL,RUDE
>StephenM: Just so you understand the new system: the most corrupt democrat jurisdictions will criminally charge you if you challenge their corruption.,@StephenM @joelpollak While Republicans will Rage Tweet.,OPPOSE,STATEMENT,GENERAL,RUDE
>Angry_Staffer: 161 racketeering acts sounds like a lot of racketeering acts,"@Angry_Staffer Your frontrunner, GOP.",SUPPORT,STATEMENT,GENERAL,NORMAL
">MichaelSteele: Republicans, as you watch the man you tout as better than John McCain, more successful than Reagan and stronger than Lincoln get processed for the 3rd time, perhaps now you agree Donald Trump must immediately suspend his campaign and Republicans must choose a better leader.",@MichaelSteele Phuq no.,OPPOSE,STATEMENT,GENERAL,RUDE
>MarkWarner: Virginia is a slam dunk for the FBI HQ – from its proximity to Quantico and other key intelligence facilities to its incredible transit options. I’m still betting on us and fighting to bring it to its best possible home.,"@MarkWarner Defund the FBI, they’ve been weaponized by the Biden regime.",OPPOSE,COMMAND,GENERAL,NORMAL
>CyrusMMcQueen: Did Twitter go to prison and change its name? What the fuck is up with X?! 🤨,@CyrusMMcQueen I don’t know I woke up to the”X” this morning,NEUTRAL,STATEMENT,PERSONAL,NORMAL
">Austin_Vols: I see legitimately no benefit to Tennessee by adding Clemson and Florida State to the SEC

Therefore, I hate it",@Austin_Vols I think it benefits TN if things stay how they are and Clemson and UNC get weaker by being in the ACC. Let TN compete with USCe for Carolina blue chip recruits.,SUPPORT,STATEMENT,PERSONAL,NORMAL
>ACTBrigitte: I am standing back and standing by for President Trump!,@ACTBrigitte You do that... You're an abarisement,OPPOSE,STATEMENT,GENERAL,RUDE
>MayoIsSpicyy: The Grim Reaper is the only one that can make Donald Trump shut the fuck up.,@MayoIsSpicyy @MrsJohnsonAZ People like him live to 100.,OPPOSE,STATEMENT,GENERAL,NORMAL
>Breaking911: BREAKING: White House to ask Congress for $12 billion more to fund Ukraine war and $13 billion for disaster fund - AP,"@Breaking911 How much for Americans struggling to afford gas and groceries???

Keep an eye on this vote in the GOP controlled House.",OPPOSE,COMMAND,GENERAL,NORMAL
">RepJeffries: House Dems are working hard to lift the middle class up.

Extreme MAGA Republicans are working hard to shut the government down.

Big difference between us and them.",@RepJeffries You're shut down at least 50% of the time. Between not being in session holidays weekends etc. You claim you are for t/people but yet here you are blathering thinking you're doing a good job for Americans. Y'all are on t/same fucking team & it ain't to help Americans as you claim,OPPOSE,STATEMENT,GENERAL,RUDE
